GROSS SQUARE FEET	 SALE PRICE 
"5,200"	0
"5,200"	"9,100,000"
"5,196"	"3,475,000"
"5,183"	"12,000,000"
"5,181"	0
"5,181"	0
"5,180"	"7,950,000"
"5,170"	"16,666,667"
"5,158"	0
"5,140"	"4,800,000"
"5,136"	0
"5,116"	"13,750,000"
"5,100"	0
"5,088"	0
"5,070"	0
"5,070"	"4,425,000"
"5,046"	"3,650,000"
"5,044"	"3,500,000"
"5,040"	0
"5,034"	"6,000,000"
"5,024"	"2,920,000"
"5,015"	"9,000,000"
"5,000"	"7,400,000"
"5,000"	"8,400,000"
"5,000"	"5,550,000"
"5,000"	"3,700,000"
"5,000"	"4,400,000"
"4,998"	0
"4,990"	"6,990,000"
"4,988"	"1,800,000"
"4,976"	"3,100,000"
"4,960"	"12,750,000"
"4,956"	"7,500,000"
"4,944"	0
"4,940"	"4,400,000"
"4,940"	0
"4,928"	"7,500,000"
"4,923"	"2,500,000"
"4,920"	"4,600,000"
"4,910"	0
"4,910"	0
"4,905"	0
"4,904"	0
"4,875"	"7,100,000"
"4,863"	"2,000,000"
"4,862"	"11,400,000"
"4,847"	"3,855,000"
"4,835"	"14,000,000"
"4,833"	"7,000,000"
"4,829"	"8,500,000"
"4,822"	"4,500,000"
"4,800"	"10,000,000"
"4,800"	"675,000"
"4,800"	"6,400,000"
"4,800"	"2,691"
"4,788"	"953,082"
"4,776"	"3,450,000"
"4,752"	0
"4,752"	0
"4,751"	0
"4,750"	"7,900,000"
"4,745"	"8,500,000"
"4,732"	"2,800,000"
"4,730"	"100,000"
"4,721"	0
"4,710"	0
"4,708"	"1,259,063"
"4,708"	"12,300,000"
"4,704"	0
"4,696"	0
"4,680"	"4,978,192"
"4,674"	"7,500,000"
"4,666"	0
"4,650"	0
"4,640"	"1,990,000"
"4,639"	"2,950,000"
"4,629"	"6,500,000"
"4,605"	"5,150,000"
"4,605"	0
"4,600"	"7,287,500"
"4,600"	0
"4,600"	0
"4,598"	"3,950,000"
"4,592"	0
"4,584"	"4,450,000"
"4,575"	0
"4,567"	"2,300,000"
"4,550"	"1,850,000"
"4,543"	"2,125,000"
"4,536"	"3,850,000"
"4,516"	0
"4,508"	0
"4,504"	"2,850,000"
"4,502"	"8,000,000"
"4,500"	"6,995,000"
"4,500"	0
"4,500"	0
"4,500"	"11,200,000"
"4,500"	0
"4,480"	"3,725,000"
"4,480"	0
"4,480"	"1,700,000"
"4,480"	0
